"BusStopKeyName","Days","Time"
"Km. 5 1/2","Habiles","23:43:00"
"Km. 5 1/2","Habiles","00:08:00"
"Plaza 1ro de Mayo","Habiles","05:21:00"
"Plaza 1ro de Mayo","Habiles","05:41:00"
"Plaza 1ro de Mayo","Habiles","06:00:00"
"Plaza 1ro de Mayo","Habiles","06:14:00"
"Plaza 1ro de Mayo","Habiles","06:22:00"
"Plaza 1ro de Mayo","Habiles","06:34:00"
"Plaza 1ro de Mayo","Habiles","06:47:00"
"Plaza 1ro de Mayo","Habiles","06:58:00"
"Plaza 1ro de Mayo","Habiles","07:12:00"
"Plaza 1ro de Mayo","Habiles","07:25:00"
"Plaza 1ro de Mayo","Habiles","07:36:00"
"Plaza 1ro de Mayo","Habiles","07:48:00"
"Plaza 1ro de Mayo","Habiles","08:00:00"
"Plaza 1ro de Mayo","Habiles","08:11:00"
"Plaza 1ro de Mayo","Habiles","08:23:00"
"Plaza 1ro de Mayo","Habiles","08:35:00"
"Plaza 1ro de Mayo","Habiles","08:47:00"
"Plaza 1ro de Mayo","Habiles","08:59:00"
"Plaza 1ro de Mayo","Habiles","09:11:00"
"Plaza 1ro de Mayo","Habiles","09:22:00"
"Plaza 1ro de Mayo","Habiles","09:34:00"
"Plaza 1ro de Mayo","Habiles","09:46:00"
"Plaza 1ro de Mayo","Habiles","09:58:00"
"Plaza 1ro de Mayo","Habiles","10:10:00"
"Plaza 1ro de Mayo","Habiles","10:21:00"
"Plaza 1ro de Mayo","Habiles","10:33:00"
"Plaza 1ro de Mayo","Habiles","10:45:00"
"Plaza 1ro de Mayo","Habiles","10:57:00"
"Plaza 1ro de Mayo","Habiles","11:09:00"
"Plaza 1ro de Mayo","Habiles","11:20:00"
"Plaza 1ro de Mayo","Habiles","11:32:00"
"Plaza 1ro de Mayo","Habiles","11:44:00"
"Plaza 1ro de Mayo","Habiles","11:56:00"
"Plaza 1ro de Mayo","Habiles","12:08:00"
"Plaza 1ro de Mayo","Habiles","12:19:00"
"Plaza 1ro de Mayo","Habiles","12:31:00"
"Plaza 1ro de Mayo","Habiles","12:43:00"
"Plaza 1ro de Mayo","Habiles","12:55:00"
"Plaza 1ro de Mayo","Habiles","13:07:00"
"Plaza 1ro de Mayo","Habiles","13:16:00"
"Plaza 1ro de Mayo","Habiles","13:28:00"
"Plaza 1ro de Mayo","Habiles","13:44:00"
"Plaza 1ro de Mayo","Habiles","14:00:00"
"Plaza 1ro de Mayo","Habiles","14:16:00"
"Plaza 1ro de Mayo","Habiles","14:32:00"
"Plaza 1ro de Mayo","Habiles","14:48:00"
"Plaza 1ro de Mayo","Habiles","15:04:00"
"Plaza 1ro de Mayo","Habiles","15:20:00"
"Plaza 1ro de Mayo","Habiles","15:38:00"
"Plaza 1ro de Mayo","Habiles","15:54:00"
"Plaza 1ro de Mayo","Habiles","16:10:00"
"Plaza 1ro de Mayo","Habiles","16:25:00"
"Plaza 1ro de Mayo","Habiles","16:40:00"
"Plaza 1ro de Mayo","Habiles","16:52:00"
"Plaza 1ro de Mayo","Habiles","17:04:00"
"Plaza 1ro de Mayo","Habiles","17:16:00"
"Plaza 1ro de Mayo","Habiles","17:27:00"
"Plaza 1ro de Mayo","Habiles","17:39:00"
"Plaza 1ro de Mayo","Habiles","17:51:00"
"Plaza 1ro de Mayo","Habiles","18:03:00"
"Plaza 1ro de Mayo","Habiles","18:15:00"
"Plaza 1ro de Mayo","Habiles","18:26:00"
"Plaza 1ro de Mayo","Habiles","18:38:00"
"Plaza 1ro de Mayo","Habiles","18:50:00"
"Plaza 1ro de Mayo","Habiles","19:02:00"
"Plaza 1ro de Mayo","Habiles","19:14:00"
"Plaza 1ro de Mayo","Habiles","19:25:00"
"Plaza 1ro de Mayo","Habiles","19:37:00"
"Plaza 1ro de Mayo","Habiles","19:49:00"
"Plaza 1ro de Mayo","Habiles","20:01:00"
"Plaza 1ro de Mayo","Habiles","20:13:00"
