SALIDA,PASA por,PASA por,PASA por,LLEGADA a,SALIDA,PASA por,PASA por,PASA por,LLEGADA,,,,,,,,,,,,,,,
desde,Churruarín,,Plaza,Hosp. Roballos,Hosp. Roballos,Plaza,,Churruarín,a
"Bº
  Policial",y Rondeau,5 Esquinas,1º de Mayo,Toma Nueva,Toma Nueva,Alvear,5 Esquinas,y Rondeau,Bº Policial
19:09,19:21,19:28,19:34,,19:26,19:54,20:06,20:12,20:24,
19:15,19:27,19:34,19:40,,,20:00,20:12,20:18,20:28,
19:19,19:33,19:40,19:46,20:12,,20:08,20:20,20:26,20:36,
19:27,19:39,19:46,19:52,,,20:16,20:28,20:34,20:44,
19:35,19:47,19:54,20:00,,19:55,20:23,20:35,20:41,20:53,
19:43,19:55,20:02,20:08,,,20:31,20:43,20:49,20:59,
19:51,20:05,20:12,20:18,20:44,,20:39,20:51,20:57,21:07,
19:58,20:10,20:17,20:23,,,20:48,21:00,21:06,21:16,
20:06,20:18,20:25,20:31,,20:26,20:54,21:06,21:12,21:24,
20:15,20:27,20:34,20:40,,,21:02,21:14,21:20,21:30,
20:21,20:35,20:42,20:48,21:13,,21:10,21:22,21:28,21:37,
20:29,20:41,20:48,20:54,,,21:19,21:31,21:37,21:46,
20:37,20:49,20:56,21:02,,20:59,21:27,21:38,21:43,21:55,
20:46,20:58,21:05,21:11,,,21:35,21:46,21:51,22:00,
20:52,21:06,21:13,21:19,21:44,,21:43,21:54,21:59,22:08,
21:02,21:14,21:21,21:27,,21:26,21:54,22:05,22:10,22:22,
21:12,21:24,21:30,21:36,,,22:03,22:15,22:20,22:29,
21:20,21:33,21:39,21:45,22:10,,22:15,22:26,22:31,22:40,
21:33,21:44,21:50,21:56,,21:59,22:27,22:38,22:43,22:55,
21:45,21:56,22:02,22:08,,,22:39,22:50,22:55,23:04,
21:56,22:09,22:15,22:20,22:45,,22:53,23:03,23:08,23:17,
22:10,22:21,22:27,22:32,,22:42,23:10,23:21,23:26,23:38,
22:24,22:35,22:41,22:46,,,23:24,23:34,23:39,23:48,
22:37,22:50,22:56,23:01,23:25,23:03,23:29,23:40,23:45,23:55,
22:55,23:06,23:12,23:17,,23:30,23:55,0:05,0:10,0:20,
23:13,23:25,23:30,23:35,23:58,0:00,0:24,0:33,0:38,0:48,
23:32,23:43,23:48,23:52,0:14,-,-,-,-,-,
0:00,0:11,0:16,0:20,0:39,-,-,-,-,-,
