LA LOMA,SAN BENITO,Pº Industrial,Estación Parera,Bº El Trébol,Av. Almafuerte y Zanni,Plaza de Mayo / Plaza Alberdi,Casa de Gobierno,Av. Almafuerte y Zanni,Pº Industrial,Estación Parera,Bº El Trébol,SAN BENITO,LA LOMA
-,12:01,-,-,-,12:28,12:42,12:50,13:12,-,-,-,-,13:38,
12:08,-,12:26,-,-,12:40,12:54,13:02,13:24,-,-,13:37,13:55,-,
12:30,-,-,-,-,12:57,13:11,13:19,13:41,-,-,-,-,14:07,
-,12:47,-,-,-,13:14,13:28,13:36,13:58,-,-,-,14:24,-,
12:59,-,-,13:17,-,13:31,13:45,13:53,14:15,-,-,-,-,14:41,
13:21,-,-,-,-,13:48,14:02,14:10,14:32,-,14:45,-,15:03,-,
-,13:38,-,-,-,14:05,14:19,14:27,14:49,-,-,-,-,15:15,
13:50,-,14:08,-,-,14:22,14:36,14:44,15:06,-,-,-,15:32,-,
-,14:11,-,-,-,14:38,14:52,15:00,15:22,15:35,-,-,-,15:53,
14:27,-,-,-,-,14:54,15:08,15:16,15:38,-,-,-,16:04,-,
-,14:39,-,-,14:57,15:11,15:25,15:33,15:55,-,-,-,-,16:21,
15:01,-,-,-,-,15:28,15:42,15:50,16:12,-,-,16:25,16:43,-,
-,15:18,-,-,-,15:45,15:59,16:07,16:29,-,-,-,-,16:55,
15:30,-,-,15:48,-,16:02,16:16,16:24,16:46,-,-,-,17:12,-,
-,15:52,-,-,-,16:19,16:33,16:41,17:03,-,17:16,-,-,17:34,
16:09,-,-,-,-,16:36,16:50,16:58,17:20,-,-,-,17:46,-,
-,16:26,-,-,-,16:53,17:07,17:15,17:37,-,-,-,-,18:03,
16:35,-,16:53,-,-,17:07,17:21,17:29,17:51,18:04,-,-,-,18:22,
16:52,-,-,-,-,17:19,17:33,17:41,18:03,-,-,-,18:29,-,
-,17:04,-,-,-,17:31,17:45,17:53,18:15,-,-,-,-,18:41,
17:10,-,-,-,17:28,17:42,17:56,18:04,18:26,-,-,18:39,-,18:57,
17:26,-,-,-,-,17:53,18:07,18:15,18:37,-,-,-,19:03,-,
-,17:37,-,-,-,18:04,18:18,18:26,18:48,-,-,-,-,19:14,
17:43,-,-,18:01,-,18:15,18:29,18:37,18:59,-,19:12,-,-,19:30,
18:00,-,-,-,-,18:27,18:41,18:49,19:11,-,-,-,19:37,-,
-,18:12,-,-,-,18:39,18:53,19:01,19:23,-,-,-,-,19:49,
18:18,-,18:36,-,-,18:50,19:04,19:12,19:34,19:47,-,-,-,20:05,
18:35,-,-,-,-,19:02,19:16,19:24,19:46,-,-,-,20:12,-,
-,18:47,-,-,-,19:14,19:28,19:36,19:58,-,-,-,-,20:24,
18:54,-,-,-,19:12,19:26,19:40,19:48,20:10,-,-,-,20:36,-,
19:11,-,-,-,-,19:38,19:52,20:00,20:22,-,20:35,-,-,20:53,
-,19:25,-,-,-,19:52,20:06,20:14,20:36,-,-,-,21:02,-,
19:34,-,-,19:52,-,20:06,20:20,20:28,20:50,-,-,-,-,21:16,
19:53,-,-,-,-,20:20,20:34,20:42,21:04,-,-,-,21:30,-,
-,20:07,-,-,-,20:34,20:48,20:56,21:18,-,-,-,-,21:44,
20:16,-,20:34,-,-,20:48,21:02,21:10,21:31,21:44,-,-,-,22:02,
20:35,-,-,-,-,21:01,21:15,21:23,21:44,-,-,-,22:10,-,
-,20:49,-,-,-,21:15,21:29,21:37,21:58,-,-,-,-,22:24,
21:03,-,-,-,-,21:29,21:42,21:50,22:11,-,22:24,-,22:41,-,
-,21:17,-,-,-,21:42,21:55,22:03,22:23,-,-,-,-,22:47,
21:34,-,-,-,-,21:59,22:12,22:20,22:40,-,-,-,23:04,-,
-,21:51,-,-,-,22:16,22:29,22:37,22:57,-,-,-,-,23:21,
22:05,-,22:22,-,-,22:35,22:48,22:56,23:16,-,-,-,-,23:40,
-,22:30,-,-,-,22:54,23:07,23:14,23:34,-,-,-,23:57,-,
22:54,-,-,-,-,23:18,23:31,23:38,23:58,-,-,-,-,0:20,
-,23:17,-,-,-,23:41,23:53,0:00,0:19,-,-,-,0:40,-,
23:40,-,-,-,-,0:02,0:13,0:19,-,-,-,-,-,-,
-,0:00,-,-,-,0:22,0:33,0:39,-,-,-,-,-,-,
,,,,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
